feature	seed	run	result	reason	stage	summary
real_build	105441651	1	FAIL	guard_low_hp_under_attack	other	0/1 PASS: {real_build=FAIL:guard_low_hp_under_attack}
real_build	155361719	1	FAIL	verify_timeout status=build Building small_hut at -11	timeout	0/1 PASS: {real_build=FAIL:verify_timeout status=build Building small_hut at -11,70,9 54/116 phase=BUILD note=flatten_skip=-7,74,13}
real_build	1061665215	1	FAIL	guard_low_hp_under_attack	other	0/1 PASS: {real_build=FAIL:guard_low_hp_under_attack}
ALLDONE
